,,,,,,,,,,,,,
Labor Planning Worksheet,Key Enter - Yellow Cells,,,,,,,,,,,,
Average Daily Lines-Receiving,25.9,,,,,,,,,,,,
Average Daily Lines-Returns,64.5,,,,,,,,,,,,
Average Daily Lines-Picking,582.0,,,,,,,,,,,,
Average Daily Lines-Outbound B2C,178.0,,,,,,,,,,,,
Average Daily Lines-Outbound B2B,403.8,,,,,,,,,,,,
Average Daily Lines - Shipping,178.2,,,,,,,,,,,,
,,,,,,,,,,,,,
Process,Elements,Throughput,,,,,,,,,,,
Average Daily Lines-Receiving, Daily Lines-Inbounded , 25.9 ,,,,,,,,,,,
, Productivity (LPH) , 6.1 ,,,,,,,,,,,
, Planned Daily Hours , 4.2 ,,,,,,,,,,,
, Planned Daily Staffing (FTE) , 0.6 ,,,,,,,,,,,
,,,,,,,,,,,,,
Process,Elements,Throughput,,,,,,,,,,,
Average Daily Lines-Returns, Daily Lines-Inbounded , 64.5 ,,,,,,,,,,,
, Productivity (LPH) , 47.4 ,,,,,,,,,,,
, Planned Daily Hours , 1.4 ,,,,,,,,,,,
, Planned Daily Staffing (FTE) , 0.2 ,,,,,,,,,,,
,,,,,,,,,,,,,
Process,Elements,Throughput,,,,,,,,,,,
Average Daily Lines-Picking, Daily Lines-Inbounded , 582.0 ,,,,,,,,,,,
, Productivity (LPH) , 49.9 ,,,,,,,,,,,
, Planned Daily Hours , 11.7 ,,,,,,,,,,,
, Planned Daily Staffing (FTE) , 1.6 ,,,,,,,,,,,
,,,,,,,,,,,,,
Process,Elements,Throughput,,,,,,,,,,,
Average Daily Lines-Outbound B2C, Daily Lines-Inbounded , 178.0 ,,,,,,,,,,,
, Productivity (LPH) , 41.0 ,,,,,,,,,,,
, Planned Daily Hours , 4.3 ,,,,,,,,,,,
, Planned Daily Staffing (FTE) , 0.6 ,,,,,,,,,,,
,,,,,,,,,,,,,
Process,Elements,Throughput,,,,,,,,,,,
Average Daily Lines-Outbound B2B, Daily Lines-Inbounded , 403.8 ,,,,,,,,,,,
, Productivity (LPH) , 82.3 ,,,,,,,,,,,
, Planned Daily Hours , 4.9 ,,,,,,,,,,,
, Planned Daily Staffing (FTE) , 0.7 ,,,,,,,,,,,
,,,,,,,,,,,,,
Process,Elements,Throughput,,,,,,,,,,,
Average Daily Lines - Shipping, Daily Lines-Inbounded , 178.2 ,,,,,,,,,,,
, Productivity (LPH) , 88.7 ,,,,,,,,,,,
, Planned Daily Hours , 2.0 ,,,,,,,,,,,
, Planned Daily Staffing (FTE) , 0.3 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total Planned Daily Staffing ,, 3.80 ,,,,,,,,,,,
